# length[m]  max_force[N]  fx[N]  fy[N]  fz[N]  time[s]
9.999999999999999547e-07 1.855301326523638409e+03 -9.088520755540230311e-06 1.855264961345310439e+03 1.161616996933329915e+01 1.163529511529231231e+00
2.999999999999999889e-02 1.854926755161758592e+03 -2.744768638340246980e-01 1.854890089861126853e+03 1.165959743572355478e+01 1.163570617157406284e+00
5.999999999999999778e-02 1.854519681648041342e+03 -5.520927595916873543e-01 1.854482622993181849e+03 1.171092779695950981e+01 1.163570808574247772e+00
8.999999999999999667e-02 1.853500515319007491e+03 -8.241727073748279508e-01 1.853462017770995317e+03 1.191762171933493164e+01 1.162634236365402085e+00
1.199999999999999956e-01 1.853038993058182996e+03 -1.103370197618460224e+00 1.852999932505917059e+03 1.198092239182503249e+01 1.162570377306404890e+00
1.499999999999999944e-01 1.852549102509734894e+03 -1.383776432419153934e+00 1.852509391577942324e+03 1.205058039810916171e+01 1.162474988672352882e+00
1.799999999999999933e-01 1.852030391211152846e+03 -1.664810350822563123e+00 1.851989941077247977e+03 1.212668647747537420e+01 1.162346843335494428e+00
2.099999999999999922e-01 1.851504483274441782e+03 -1.946453994981538926e+00 1.851463240850039028e+03 1.220371596169439954e+01 1.162227857240465845e+00
2.399999999999999911e-01 1.850871942264526069e+03 -2.482301184697917051e+00 1.850842172572313302e+03 1.019985640518586933e+01 1.175906229284660487e+00
2.700000000000000178e-01 1.851358377700747042e+03 -2.734405144512493280e+00 1.851325439743557808e+03 1.069962006662001386e+01 1.173451871506215438e+00
3.000000000000000444e-01 1.850853669981115218e+03 -3.041545075902376993e+00 1.850819695449355095e+03 1.079405497810788006e+01 1.173353340162534231e+00
3.299999999999999600e-01 1.850152004551829350e+03 -3.363547580502654455e+00 1.850117388812926492e+03 1.080620686757674775e+01 1.173774743699738110e+00
3.599999999999999867e-01 1.848900411012831682e+03 -3.703463286714850256e+00 1.848865745269019953e+03 1.069907350814807501e+01 1.175059087607873032e+00
3.900000000000000133e-01 1.848262862916787299e+03 -4.013122787059501206e+00 1.848227039088949823e+03 1.078504813842440058e+01 1.175104798200341305e+00
4.200000000000000400e-01 1.847694356638440013e+03 -4.324190837851347169e+00 1.847657272606428023e+03 1.087841494482330518e+01 1.175082153070375446e+00
4.499999999999999556e-01 1.847137204696429308e+03 -4.632709083798317806e+00 1.847098756762260564e+03 1.098060779714157320e+01 1.175020712026189518e+00
4.799999999999999822e-01 1.846593461964339440e+03 -4.938007425223759128e+00 1.846553545333400052e+03 1.109207233855275376e+01 1.174916815975033835e+00
5.100000000000000089e-01 1.846057975445921556e+03 -5.239980937888731205e+00 1.846016495500438850e+03 1.121113943999952767e+01 1.174780110857358340e+00
5.400000000000000355e-01 1.845530302033872658e+03 -5.538177293738499429e+00 1.845487166325521002e+03 1.133769135667057526e+01 1.174610534196754319e+00
5.700000000000000622e-01 1.845019708463712504e+03 -5.831127590747883005e+00 1.844974810630099228e+03 1.147478587916080528e+01 1.174387291321002058e+00
5.999999999999999778e-01 1.844520907926894552e+03 -6.118728893130537472e+00 1.844474151358118434e+03 1.162092543374055253e+01 1.174118242860204386e+00
6.300000000000000044e-01 1.843807551164948336e+03 -6.432607373025575725e+00 1.843759244215024410e+03 1.169430061653412167e+01 1.174328231449253135e+00
6.600000000000000311e-01 1.843020847121151519e+03 -6.726435059592859034e+00 1.842970868005802231e+03 1.178887935708854684e+01 1.174489501402847802e+00
6.899999999999999467e-01 1.842380277513090050e+03 -7.025764731901972482e+00 1.842328465768889146e+03 1.189747102511634580e+01 1.174507009698358528e+00
7.199999999999999734e-01 1.841473366822711114e+03 -7.341045154534413086e+00 1.841419953364932098e+03 1.195094652744154473e+01 1.174943653339750149e+00
7.500000000000000000e-01 1.841039479078635395e+03 -7.635772590715077968e+00 1.840983899113493180e+03 1.209717768555631778e+01 1.174687258119363698e+00
7.800000000000000266e-01 1.840210054530834441e+03 -7.921028576135768162e+00 1.840152565042425522e+03 1.219997829729067007e+01 1.174866113203893780e+00
8.100000000000000533e-01 1.839548802723314793e+03 -8.214138229692480309e+00 1.839489219004139159e+03 1.231822639289686094e+01 1.174887374157219222e+00
8.399999999999999689e-01 1.838970476440560105e+03 -8.492704890989671185e+00 1.838908633963326338e+03 1.246286960488069440e+01 1.174746016340000754e+00
8.699999999999999956e-01 1.838987260108008059e+03 -8.658312427631472019e+00 1.838922321425311566e+03 1.280125889148257556e+01 1.173284772690308397e+00
9.000000000000000222e-01 1.838320947823995084e+03 -8.941947739045417620e+00 1.838253770250130856e+03 1.292381291736631965e+01 1.173315375720961118e+00
9.299999999999999378e-01 1.837657272722118023e+03 -9.222495656565342870e+00 1.837587786643687650e+03 1.305082144196083505e+01 1.173332075290600018e+00
9.599999999999999645e-01 1.836927147000264540e+03 -9.494166930774554203e+00 1.836855352376605424e+03 1.317644209332570426e+01 1.173404831526181580e+00
9.899999999999999911e-01 1.836291222647727182e+03 -9.763044234395010790e+00 1.836216962393249105e+03 1.331932279325744162e+01 1.173342574023480855e+00
1.020000000000000018e+00 1.835639032070867870e+03 -1.003293951287173513e+01 1.835562266720469097e+03 1.345961287767340764e+01 1.173315038081391704e+00
1.050000000000000044e+00 1.834990822112008118e+03 -1.029922382125027980e+01 1.834911489110781076e+03 1.360405649941517936e+01 1.173273978606607981e+00
1.080000000000000071e+00 1.834346962755027107e+03 -1.056173774438934743e+01 1.834265001141768153e+03 1.375263795790115751e+01 1.173219044623018847e+00
1.110000000000000098e+00 1.833003423320679985e+03 -9.771957531249881868e+00 1.832912702290130255e+03 1.539754963723555647e+01 1.160067730030910571e+00
1.139999999999999902e+00 1.832308677787406623e+03 -9.997737789348093429e+00 1.832215485565058316e+03 1.554189144627562769e+01 1.159946531636207423e+00
1.169999999999999929e+00 1.831588004006568326e+03 -1.021799163339642291e+01 1.831492278498162932e+03 1.569212762350056778e+01 1.159784404322614648e+00
1.199999999999999956e+00 1.830952577145355690e+03 -1.044698148984366526e+01 1.830854334049413410e+03 1.583059776034156130e+01 1.159768092152775543e+00
1.229999999999999982e+00 1.830309019300043246e+03 -1.067299459892228697e+01 1.830208205226847213e+03 1.597243994198288419e+01 1.159739422782550378e+00
1.260000000000000009e+00 1.829713182856155981e+03 -1.090369531100941458e+01 1.829609779091020528e+03 1.610891680642313872e+01 1.159792943587730107e+00
1.290000000000000036e+00 1.829085951566599988e+03 -1.112834131722206621e+01 1.828979889149164819e+03 1.625248675526501074e+01 1.159794163962643676e+00
1.320000000000000062e+00 1.828422065272651707e+03 -1.134575119579858438e+01 1.828313275791326305e+03 1.640391023208087518e+01 1.159732837948197703e+00
1.349999999999999867e+00 1.828014060690939914e+03 -1.296367212688232939e+01 1.827906178164687844e+03 1.504503626218891554e+01 1.173855481370693621e+00
1.379999999999999893e+00 1.827301414536046423e+03 -1.322324456326782638e+01 1.827190351303044281e+03 1.519952215414198804e+01 1.173935186469135861e+00
1.409999999999999920e+00 1.826595187744593204e+03 -1.347934648145337633e+01 1.826480883521031274e+03 1.535803510777208203e+01 1.174001656275650562e+00
1.439999999999999947e+00 1.825862364573424657e+03 -1.359112977010568102e+01 1.825745354643524934e+03 1.557419515797124632e+01 1.173716833110226121e+00
1.469999999999999973e+00 1.825181464920751296e+03 -1.383494608303226414e+01 1.825061140268679083e+03 1.574193248390704980e+01 1.173738779993506620e+00
1.500000000000000000e+00 1.824508317585995201e+03 -1.407485460366524421e+01 1.824384624824363073e+03 1.591351981279393613e+01 1.173747132284520100e+00
1.530000000000000027e+00 1.823843314389713669e+03 -1.431072149406168137e+01 1.823716201989115461e+03 1.608891844626575107e+01 1.173741707216967800e+00
1.560000000000000053e+00 1.823498247280948590e+03 -1.304348953534486100e+01 1.823366467009579992e+03 1.761965386821700008e+01 1.160209609234639672e+00
1.590000000000000080e+00 1.822806878359646134e+03 -1.323620638271927419e+01 1.822671952578269838e+03 1.779527803518342921e+01 1.160087318333340889e+00
1.619999999999999885e+00 1.822107371588541355e+03 -1.342494289274350194e+01 1.821969258372353124e+03 1.797403826987368802e+01 1.159948840346278320e+00
1.649999999999999911e+00 1.821399140721147887e+03 -1.360957321435876111e+01 1.821257799596988434e+03 1.815590107361748551e+01 1.159793608075655458e+00
1.679999999999999938e+00 1.820604488507334963e+03 -1.375387155903808889e+01 1.820460117329947707e+03 1.834382188163746719e+01 1.159630397444600503e+00
1.709999999999999964e+00 1.819877185780691434e+03 -1.392954411099594836e+01 1.819729518688452117e+03 1.853153905652681033e+01 1.159440617327128775e+00
1.739999999999999991e+00 1.819138764168347052e+03 -1.410072675970400269e+01 1.818987765411452074e+03 1.872223512941599211e+01 1.159232269671075066e+00
1.770000000000000018e+00 1.818386528063625065e+03 -1.426699260234613575e+01 1.818232163619006997e+03 1.891606583603933700e+01 1.159001864160872364e+00
1.800000000000000044e+00 1.817651801806115373e+03 -1.443444109544452658e+01 1.817494032742807349e+03 1.910917223658600506e+01 1.158801149779136619e+00
1.829999999999999849e+00 1.816964286457075104e+03 -1.460868164080056886e+01 1.816803063934748479e+03 1.929848591201857744e+01 1.158675092461928902e+00
1.859999999999999876e+00 1.817242881022620622e+03 -1.497645703891248559e+01 1.817078029751581425e+03 1.936047923133949666e+01 1.160362578219370500e+00
1.889999999999999902e+00 1.816488696265488898e+03 -1.512938021165973623e+01 1.816320284470677052e+03 1.956807949354225684e+01 1.160061870440161513e+00
1.919999999999999929e+00 1.815090229927916425e+03 -1.513757725423738520e+01 1.814918523552238412e+03 1.985319625680114086e+01 1.158662091523695370e+00
1.949999999999999956e+00 1.814459750877639863e+03 -1.531364663626754918e+01 1.814284402661162630e+03 2.004460131992701122e+01 1.158611433042606276e+00
1.979999999999999982e+00 1.814840571445533215e+03 -1.571036968655607780e+01 1.814661196760320991e+03 2.010534808107328786e+01 1.160517653077437705e+00
2.009999999999999787e+00 1.814106168357241359e+03 -1.585532910078200075e+01 1.813923075647192263e+03 2.031930721081943148e+01 1.160223923836327886e+00
2.039999999999999591e+00 1.813444675471774644e+03 -1.601724636154722248e+01 1.813257787324045012e+03 2.052402311030760984e+01 1.160084640511802601e+00
2.069999999999999840e+00 1.812989296084473153e+03 -1.622047239312905731e+01 1.812798601109290075e+03 2.069579204616209722e+01 1.160465702811951161e+00
2.099999999999999645e+00 1.811363318922615235e+03 -1.615657180139078264e+01 1.811169243210417108e+03 2.102405228739519316e+01 1.158444782043006382e+00
2.129999999999999893e+00 1.811787077061601622e+03 -1.656319359783105938e+01 1.811588491529143539e+03 2.110001384892623832e+01 1.160407787863569684e+00
2.159999999999999698e+00 1.811152896962408931e+03 -1.672070336085562303e+01 1.810950332811885801e+03 2.131024033098648829e+01 1.160295204424348192e+00
2.189999999999999947e+00 1.810497634991874065e+03 -1.686930727977437527e+01 1.810291074360540733e+03 2.152530774760379018e+01 1.160131355707593181e+00
2.219999999999999751e+00 1.808818864041934148e+03 -1.895202211549167259e+01 1.808601612444717603e+03 2.065698995631001367e+01 1.173774397497017619e+00
2.249999999999999556e+00 1.808965734288166459e+03 -1.710003770578487092e+01 1.808751284626943288e+03 2.198651631269333961e+01 1.159354693778900103e+00
2.279999999999999805e+00 1.808105198646156396e+03 -1.719163863932521963e+01 1.807886840427603829e+03 2.222676631556760185e+01 1.158814789509576615e+00
2.309999999999999609e+00 1.807270357875865329e+03 -1.729018877677413002e+01 1.807048034813655022e+03 2.246320780586879096e+01 1.158345879773643450e+00
2.339999999999999858e+00 1.806498354550386011e+03 -1.740197074999900906e+01 1.806271980595639434e+03 2.269379920538082729e+01 1.157995579063082259e+00
2.369999999999999662e+00 1.805770864491710881e+03 -1.752137912029638755e+01 1.805540369971596647e+03 2.292135955159818650e+01 1.157721237951187199e+00
2.399999999999999911e+00 1.804983677450441746e+03 -1.762669403909308130e+01 1.804749083285975075e+03 2.315430625618114391e+01 1.157358874760693324e+00
2.429999999999999716e+00 1.805098008451516989e+03 -1.793085245423799279e+01 1.804858269265148010e+03 2.332236075341089077e+01 1.158357386380145293e+00
2.459999999999999520e+00 1.805424092325595211e+03 -1.830282585982808996e+01 1.805178993477175254e+03 2.345125207694897540e+01 1.160088161093331793e+00
2.489999999999999769e+00 1.804642212909083355e+03 -1.837988116533483662e+01 1.804392968538975310e+03 2.370045714424281869e+01 1.159580378265791634e+00
2.519999999999999574e+00 1.803815266186311646e+03 -1.844629304147201765e+01 1.803561897941593543e+03 2.395264271722564331e+01 1.159014739236647662e+00
2.549999999999999822e+00 1.802936948721307544e+03 -1.850243423272831933e+01 1.802679479973748812e+03 2.420730207059273198e+01 1.158393004597798592e+00
2.579999999999999627e+00 1.801995833767478871e+03 -1.854767483809450823e+01 1.801734294823171240e+03 2.446425007028767595e+01 1.157709475845789759e+00
2.609999999999999876e+00 1.801246559365569965e+03 -2.110595930235194828e+01 1.800967575638046810e+03 2.365370179585289634e+01 1.173970444802303170e+00
2.639999999999999680e+00 1.801035396554645558e+03 -2.114398441314938282e+01 1.800752136831666121e+03 2.394103719713854161e+01 1.173419080677261972e+00
2.669999999999999485e+00 1.800748196498473135e+03 -2.119890606760054652e+01 1.800460516650745831e+03 2.421985870665375273e+01 1.172977440612019917e+00
2.699999999999999734e+00 1.801903032115730184e+03 -1.969102666975618376e+01 1.801620395628748611e+03 2.511475006972162305e+01 1.163054736501184738e+00
2.729999999999999538e+00 1.801292885014579269e+03 -1.975358337680404475e+01 1.801005829593498220e+03 2.537430428912449543e+01 1.162642694979223457e+00
2.759999999999999787e+00 1.801072799186691100e+03 -2.013826945121559220e+01 1.800779446847402369e+03 2.551591436058814111e+01 1.164440890894083314e+00
2.789999999999999591e+00 1.800519765423714716e+03 -2.019727497468898036e+01 1.800221911012855344e+03 2.577919460124144280e+01 1.164054058561855509e+00
2.819999999999999840e+00 1.799950610103825284e+03 -2.024366772875714560e+01 1.799648298505939238e+03 2.604600573405565456e+01 1.163607870911488984e+00
2.849999999999999645e+00 1.799359326484849817e+03 -2.027761312044935949e+01 1.799052604450250328e+03 2.631597679966830583e+01 1.163102381721242029e+00
2.879999999999999893e+00 1.798745532778918232e+03 -2.030324588052872059e+01 1.798434425947784348e+03 2.658731774160068539e+01 1.162566054416845462e+00
2.909999999999999698e+00 1.798521371750494382e+03 -2.061065592284762715e+01 1.798203926868718327e+03 2.677616289969421359e+01 1.163813233591689311e+00
2.939999999999999503e+00 1.797896663967260565e+03 -2.058892173110916701e+01 1.797575069948540659e+03 2.706249260607239648e+01 1.163031197208245437e+00
2.969999999999999751e+00 1.797300213534784689e+03 -2.060585972195281101e+01 1.796974177077102695e+03 2.733611229437809698e+01 1.162510642535423244e+00
2.999999999999999556e+00 1.796228585845647331e+03 -2.041029608850408295e+01 1.795899657222760197e+03 2.765815629803833531e+01 1.160716579051495945e+00
